이름,팀,경기수,득점,도움
김민수,서울FC,30,12,7
박지훈,부산유나이티드,28,9,10
이준호,인천드래곤즈,27,15,5
최영호,대구타이거즈,29,8,12
정우성,광주스타즈,25,3,6
한지민,수원블루윙즈,31,20,6
오세훈,울산샤크스,30,14,9
윤태호,전북그린스,29,10,11
강동원,포항스틸러스,28,16,3
배수지,제주유나이티드,27,2,1
이승현,서울FC,26,8,5
장민호,부산유나이티드,30,0,1
서지훈,인천드래곤즈,28,11,9
문태영,대구타이거즈,27,14,6
권지민,광주스타즈,29,9,12
최민석,수원블루윙즈,25,10,5
류현우,울산샤크스,31,17,5
임도현,전북그린스,30,12,10
홍성민,포항스틸러스,28,15,4
조윤아,제주유나이티드,27,6,4
박성호,서울FC,29,13,6
김지훈,부산유나이티드,27,7,8
이도현,인천드래곤즈,30,12,8
최민아,대구타이거즈,28,10,9
정민수,광주스타즈,26,14,7
한승우,수원블루윙즈,29,11,14
오지현,울산샤크스,27,9,10
윤지호,전북그린스,31,16,5
강민재,포항스틸러스,30,18,4
배지현,제주유나이티드,28,8,3
